game_date,game_time,stadium,away_team,home_team,away_score,home_score,away_pitcher,away_pitcher_result,home_pitcher,home_pitcher_result,winner,ect
2025.03.22,14:00,수원 KT위즈파크,한화 이글스,KT 위즈,4,3,박상원,승,김민수,패,한화 이글스,종료
2025.03.22,14:00,서울 잠실야구장,롯데 자이언츠,LG 트윈스,2,12,반즈,패,치리노스,승,LG 트윈스,종료
2025.03.22,14:00,광주 기아챔피언스필드,NC 다이노스,KIA 타이거즈,2,9,전사민,패,전상형,승,KIA 타이거즈,종료
2025.03.22,14:00,인천 SSG랜더스필드,두산 베어스,SSG 랜더스,5,6,이영하,패,조병현,승,SSG 랜더스,종료
2025.03.22,14:00,대구 삼성라이온즈파크,키움 히어로즈,삼성 라이온즈,5,13,로젠버그,패,후라도,승,삼성 라이온즈,종료
2025.03.23,14:00,수원 KT위즈파크,한화 이글스,KT 위즈,4,5,한승혁,패,손동현,승,KT 위즈,종료
2025.03.23,14:00,서울 잠실야구장,롯데 자이언츠,LG 트윈스,2,10,박세웅,패,손주영,승,LG 트윈스,종료
2025.03.23,14:00,광주 기아챔피언스필드,NC 다이노스,KIA 타이거즈,5,4,라일리,승,양현종,패,NC 다이노스,종료
2025.03.23,14:00,인천 SSG랜더스필드,두산 베어스,SSG 랜더스,2,5,잭로그,패,김광현,승,SSG 랜더스,종료
2025.03.23,14:00,대구 삼성라이온즈파크,키움 히어로즈,삼성 라이온즈,7,11,하영민,패,양창섭,승,삼성 라이온즈,종료
2025.03.25,18:30,서울 잠실야구장,한화 이글스,LG 트윈스,0,5,박상원,패,에르난데스,승,LG 트윈스,종료
2025.03.25,18:30,인천 SSG랜더스필드,롯데 자이언츠,SSG 랜더스,3,2,박준우,승,조병현,패,롯데 자이언츠,종료
2025.03.25,18:30,대구 삼성라이온즈파크,NC 다이노스,삼성 라이온즈,5,14,최성영,패,최원태,승,삼성 라이온즈,종료
2025.03.25,18:30,수원 KT위즈파크,두산 베어스,KT 위즈,3,8,김호준,패,김민수,승,KT 위즈,종료
2025.03.25,18:30,광주 기아챔피언스필드,키움 히어로즈,KIA 타이거즈,6,11,김윤하,패,올러,승,KIA 타이거즈,종료
2025.03.26,18:30,서울 잠실야구장,한화 이글스,LG 트윈스,0,4,엄상백,패,임찬규,승,LG 트윈스,종료
2025.03.26,18:30,인천 SSG랜더스필드,롯데 자이언츠,SSG 랜더스,1,3,김진욱,패,송영진,승,SSG 랜더스,종료
2025.03.26,18:30,대구 삼성라이온즈파크,NC 다이노스,삼성 라이온즈,8,6,신민혁,승,이승현,패,NC 다이노스,종료
2025.03.26,18:30,수원 KT위즈파크,두산 베어스,KT 위즈,3,2,최승용,승,소형준,패,두산 베어스,종료
2025.03.26,18:30,광주 기아챔피언스필드,키움 히어로즈,KIA 타이거즈,17,10,정현우,승,윤영철,패,키움 히어로즈,종료
2025.03.27,18:30,서울 잠실야구장,한화 이글스,LG 트윈스,1,2,한승혁,패,벽명근,승,LG 트윈스,종료
2025.03.27,18:30,인천 SSG랜더스필드,롯데 자이언츠,SSG 랜더스,2,5,박준우,패,김건우,승,SSG 랜더스,종료
2025.03.27,18:30,대구 삼성라이온즈파크,NC 다이노스,삼성 라이온즈,11,5,손주환,승,이재희,패,NC 다이노스,종료
2025.03.27,18:30,수원 KT위즈파크,두산 베어스,KT 위즈,3,4,김유성,패,오원석,승,KT 위즈,종료
